"","match_count_0","match_count_1","match_count_2","match_count_3","match_count_4","match_count_5","match_count_6","match_count_7","match_count_8","min_var_oset","var_iset","max_var_oset","ratio_obj_iset_oset"
"73",0,0,0,0,0,0,0,0,1,0.0447,0.0447,0.064,1
"74",0,0,0,0,0,0,0,0,1,0.0454,0.0454,0.0745,1
"75",0,0,0,0,0,0,0,0,1,0.0414,0.0414,0.0595,1
"76",0,0,0,0,0,0,0,0,1,0.0508,0.0508,0.0873,1
"77",0,0,0,0,0,0,0,0,1,0.0451,0.0451,0.0606,1
"78",0,0,0,0,0,0,0,0,1,0.0449,0.0449,0.0708,1
"79",0,0,0,0,0,0,0,0,1,0.0454,0.0454,0.064,1
"80",0,0,0,0,0,0,0,0,1,0.0435,0.0435,0.0549,1
"81",0,0,0,0,0,0,0,0,1,0.0444,0.0444,0.0601,1
"82",0,0,0,0,0,0,0,0,1,0.0409,0.0409,0.0565,1
"83",0,0,0,0,0,0,0,0,1,0.0444,0.0444,0.0616,1
"84",0,0,0,0,0,0,0,0,1,0.0466,0.0466,0.0696,1
"85",0,0,0,0,0,0,0,0,1,0.0486,0.0486,0.077,1
"86",0,0,0,0,0,0,0,0,1,0.0434,0.0434,0.0598,1
"87",0,0,0,0,0,0,0,0,1,0.0481,0.0481,0.0706,1
"88",0,0,0,0,0,0,0,0,1,0.0452,0.0452,0.0633,1
"89",0,0,0,0,0,0,0,0,1,0.0445,0.0445,0.0625,1
"90",0,0,0,0,0,0,0,0,1,0.047,0.047,0.072,1
"91",0,0,0,0,0,0,0,1,0,0.0412,0.0412,0.0512,0.9983
"92",0,0,0,0,0,0,0,1,0,0.042,0.042,0.0582,0.9999
"93",0,0,0,0,0,0,0,0,1,0.0462,0.0462,0.0624,1
"94",0,0,0,0,0,0,0,0,1,0.0436,0.0436,0.0551,1
"95",0,0,0,0,0,0,0,0,1,0.0467,0.0467,0.0671,1
"96",0,0,0,0,0,0,0,0,1,0.0489,0.0489,0.0793,1
"97",0,0,0,0,0,0,0,0,1,0.0451,0.0451,0.0625,1
"98",0,0,0,0,0,0,0,0,1,0.0444,0.0444,0.0641,1
"99",0,0,0,0,0,0,0,0,1,0.0462,0.0462,0.0692,1
"100",0,0,0,0,0,0,0,0,1,0.0431,0.0431,0.0615,1
