"","match_count_0","match_count_1","match_count_2","match_count_3","match_count_4","match_count_5","match_count_6","match_count_7","min_var_oset","var_iset","max_var_oset","ratio_obj_iset_oset"
"55",0,0,0,0,0,0,1,0,0.0465,0.0468,0.0653,0.9807
"56",0,0,0,0,0,0,0,1,0.0443,0.0443,0.0582,1
"57",0,0,0,0,0,0,0,1,0.0475,0.0475,0.07,1
"58",0,0,0,0,0,0,0,1,0.0457,0.0457,0.0642,1
"59",0,0,0,0,0,0,0,1,0.0483,0.0483,0.0848,1
"60",0,0,0,0,0,0,0,1,0.047,0.047,0.0663,1
"61",0,0,0,0,0,0,0,1,0.0484,0.0484,0.0685,1
"62",0,0,0,0,0,0,0,1,0.0475,0.0475,0.0668,1
"63",0,0,0,0,0,0,1,0,0.0487,0.0487,0.0679,0.9983
"64",0,0,0,0,0,0,0,1,0.0433,0.0433,0.0554,1
"65",0,0,0,0,0,0,0,1,0.047,0.047,0.0671,1
"66",0,0,0,0,0,0,1,0,0.0457,0.0458,0.0603,0.994
"67",0,0,0,0,0,0,0,1,0.0432,0.0432,0.055,1
"68",0,0,0,0,0,0,0,1,0.0444,0.0444,0.0617,1
"69",0,0,0,0,0,0,0,1,0.0492,0.0492,0.0746,1
"70",0,0,0,0,0,0,0,1,0.0499,0.0499,0.0764,1
"71",0,0,0,0,0,0,0,1,0.0486,0.0486,0.077,1
"72",0,0,0,0,0,0,0,1,0.046,0.046,0.0676,1
"73",0,0,0,0,0,0,0,1,0.0457,0.0457,0.0641,1
"74",0,0,0,0,0,0,0,1,0.0468,0.0468,0.0745,1
"75",0,0,0,0,0,0,0,1,0.0421,0.0421,0.0596,1
"76",0,0,0,0,0,0,0,1,0.0524,0.0524,0.0873,1
"77",0,0,0,0,0,0,0,1,0.0461,0.0461,0.0606,1
"78",0,0,0,0,0,0,0,1,0.046,0.046,0.0709,1
"79",0,0,0,0,0,0,0,1,0.0467,0.0467,0.064,1
"80",0,0,0,0,0,0,0,1,0.0445,0.0445,0.0549,1
"81",0,0,0,0,0,0,0,1,0.0454,0.0454,0.0601,1
"82",0,0,0,0,0,0,0,1,0.0414,0.0414,0.0565,1
"83",0,0,0,0,0,0,0,1,0.0455,0.0455,0.0616,1
"84",0,0,0,0,0,0,0,1,0.048,0.048,0.0696,1
"85",0,0,0,0,0,0,0,1,0.0502,0.0502,0.077,1
"86",0,0,0,0,0,0,1,0,0.0444,0.0444,0.0599,0.9991
"87",0,0,0,0,0,0,0,1,0.0493,0.0493,0.0706,1
"88",0,0,0,0,0,0,0,1,0.0463,0.0463,0.0633,1
"89",0,0,0,0,0,0,1,0,0.0458,0.0459,0.0626,0.9974
"90",0,0,0,0,0,0,0,1,0.0484,0.0484,0.072,1
"91",0,0,0,0,0,0,0,1,0.0419,0.0419,0.0512,1
"92",0,0,0,0,0,0,0,1,0.0428,0.0428,0.0583,1
"93",0,0,0,0,0,0,0,1,0.0475,0.0475,0.0625,1
"94",0,0,0,0,0,0,0,1,0.0442,0.0442,0.0551,1
"95",0,0,0,0,0,0,0,1,0.0478,0.0478,0.0671,1
"96",0,0,0,0,0,0,0,1,0.0506,0.0506,0.0793,1
"97",0,0,0,0,0,0,0,1,0.0464,0.0464,0.0625,1
"98",0,0,0,0,0,0,0,1,0.0453,0.0453,0.0641,1
"99",0,0,0,0,0,0,0,1,0.0475,0.0475,0.0692,1
"100",0,0,0,0,0,0,0,1,0.0442,0.0442,0.0616,1
