"","match_count_0","match_count_1","match_count_2","match_count_3","match_count_4","match_count_5","match_count_6","match_count_7","min_var_oset","var_iset","max_var_oset","ratio_obj_iset_oset","match_count_start_30","match_count_start_31","match_count_start_32","match_count_start_33","match_count_start_34","match_count_start_35","match_count_start_36","match_count_start_37","var_iset_start_3"
"83",0,0,0,0,0,0,0,1,0.0526,0.0526,0.0779,1,0,0,0,0,0,0,0,1,0.0526
"84",0,0,0,0,0,0,0,1,0.043,0.043,0.0558,1,0,0,0,0,0,0,0,1,0.043
"85",0,0,0,0,0,0,0,1,0.0456,0.0456,0.0669,1,0,0,0,0,0,0,0,1,0.0456
"86",0,0,0,0,0,0,1,0,0.0451,0.0451,0.0598,0.9954,0,0,0,0,0,0,1,0,0.0451
"87",0,0,0,0,0,0,0,1,0.0442,0.0442,0.0572,1,0,0,0,0,0,0,0,1,0.0442
"88",0,0,0,0,0,0,0,1,0.0448,0.0448,0.0608,1,0,0,0,0,0,0,0,1,0.0448
"89",0,0,0,0,0,0,0,1,0.0415,0.0415,0.0496,1,0,0,0,0,0,0,0,1,0.0415
"90",0,0,0,0,0,0,0,1,0.0469,0.0469,0.0665,1,0,0,0,0,0,0,0,1,0.0469
"91",0,0,0,0,0,0,0,1,0.0481,0.0481,0.0655,1,0,0,0,0,0,0,0,1,0.0481
"92",0,0,0,0,0,0,0,1,0.0488,0.0488,0.0765,1,0,0,0,0,0,0,0,1,0.0488
"93",0,0,0,0,0,0,0,1,0.0448,0.0448,0.0572,1,0,0,0,0,0,0,0,1,0.0448
"94",0,0,0,0,0,0,0,1,0.0435,0.0435,0.0606,1,0,0,0,0,0,0,0,1,0.0435
"95",0,0,0,0,0,0,0,1,0.0472,0.0472,0.0755,1,0,0,0,0,0,0,0,1,0.0472
"96",0,0,0,0,0,0,1,0,0.0468,0.047,0.0618,0.9883,0,0,0,0,0,0,1,0,0.0468
"97",0,0,0,0,0,0,0,1,0.0493,0.0493,0.0697,1,0,0,0,0,0,0,0,1,0.0493
"98",0,0,0,0,0,0,0,1,0.0476,0.0476,0.0676,1,0,0,0,0,0,0,0,1,0.0476
"99",0,0,0,0,0,0,0,1,0.0452,0.0452,0.0609,1,0,0,0,0,0,0,0,1,0.0452
"100",0,0,0,0,0,0,0,1,0.0452,0.0452,0.0596,1,0,0,0,0,0,0,0,1,0.0452
