"","match_count_0","match_count_1","match_count_2","match_count_3","match_count_4","match_count_5","match_count_6","match_count_7","match_count_8","match_count_9","match_count_10","min_var_oset","var_iset","max_var_oset","ratio_obj_iset_oset","match_count_start_30","match_count_start_31","match_count_start_32","match_count_start_33","match_count_start_34","match_count_start_35","match_count_start_36","match_count_start_37","match_count_start_38","match_count_start_39","match_count_start_310","var_iset_start_3"
"56",0,0,0,0,0,0,0,0,0,0,1,0.0416,0.0416,0.059,1,0,0,0,0,0,0,0,0,0,0,1,0.0416
"57",0,0,0,0,0,0,0,0,0,0,1,0.0427,0.0427,0.0729,1,0,0,0,0,0,0,0,0,0,0,1,0.0427
"58",0,0,0,0,0,0,0,0,0,0,1,0.0447,0.0447,0.0677,1,0,0,0,0,0,0,0,0,0,0,1,0.0447
"59",0,0,0,0,0,0,0,0,0,0,1,0.0424,0.0424,0.0556,1,0,0,0,0,0,0,0,0,0,0,1,0.0424
"60",0,0,0,0,0,0,0,0,0,1,0,0.0443,0.0444,0.073,0.9972,0,0,0,0,0,0,0,0,0,1,0,0.0444
"61",0,0,0,0,0,0,0,0,0,0,1,0.0417,0.0417,0.0588,1,0,0,0,0,0,0,0,0,0,0,1,0.0417
"62",0,0,0,0,0,0,0,0,0,0,1,0.041,0.041,0.0566,1,0,0,0,0,0,0,0,0,0,0,1,0.041
"63",0,0,0,0,0,0,0,0,0,0,1,0.0415,0.0415,0.0534,1,0,0,0,0,0,0,0,0,0,0,1,0.0415
"64",0,0,0,0,0,0,0,0,0,0,1,0.0402,0.0402,0.0505,1,0,0,0,0,0,0,0,0,0,0,1,0.0402
"65",0,0,0,0,0,0,0,0,0,0,1,0.0398,0.0398,0.0505,1,0,0,0,0,0,0,0,0,0,0,1,0.0398
"66",0,0,0,0,0,0,0,0,0,1,0,0.0431,0.0431,0.058,0.9984,0,0,0,0,0,0,0,0,0,1,0,0.0431
"67",0,0,0,0,0,0,0,0,0,0,1,0.0451,0.0451,0.0742,1,0,0,0,0,0,0,0,0,0,0,1,0.0451
"68",0,0,0,0,0,0,0,0,0,0,1,0.041,0.041,0.0595,1,0,0,0,0,0,0,0,0,0,0,1,0.041
"69",0,0,0,0,0,0,0,0,0,0,1,0.0412,0.0412,0.0602,1,0,0,0,0,0,0,0,0,0,0,1,0.0412
"70",0,0,0,0,0,0,0,0,0,0,1,0.0405,0.0405,0.0534,1,0,0,0,0,0,0,0,0,0,0,1,0.0405
