"","optim 1","optim 2","optim 3","optim 4","optim 5","ratio","sub optim 1","sub optim 2","sub optim 3","sub optim 4","sub optim 5"
"165",9,15,25,31,32,1,9,15,25,31,32
"166",13,31,40,42,46,1,13,31,40,42,46
"167",1,5,6,10,12,1,1,5,6,10,12
"168",5,16,23,34,48,1,5,16,23,34,48
"169",6,20,33,34,47,0.991,12,20,33,34,47
"170",2,7,10,39,41,1,2,7,10,39,41
"171",6,15,29,34,36,1,6,15,29,34,36
"172",6,26,31,35,38,1,6,26,31,35,38
"173",6,10,17,25,45,1,6,10,17,25,45
"174",11,19,23,37,45,1,11,19,23,37,45
"175",10,17,19,35,36,1,10,17,19,35,36
"176",11,24,25,37,39,1,11,24,25,37,39
"177",11,18,28,43,45,1,11,18,28,43,45
"178",3,8,26,38,50,1,3,8,26,38,50
"179",3,8,19,21,23,1,3,8,19,21,23
"180",18,25,39,41,43,1,18,25,39,41,43
"181",4,6,42,45,46,1,4,6,42,45,46
"182",4,11,18,30,47,1,4,11,18,30,47
"183",16,21,22,26,39,0.993,21,22,26,34,39
"184",2,5,6,10,47,1,2,5,6,10,47
"185",15,29,30,38,48,1,15,29,30,38,48
"186",4,26,27,29,35,1,4,26,27,29,35
"187",3,14,46,47,48,1,3,14,46,47,48
"188",3,25,32,41,47,1,3,25,32,41,47
"189",10,14,22,38,42,1,10,14,22,38,42
"190",1,4,18,37,38,1,1,4,18,37,38
"191",5,7,11,31,35,1,5,7,11,31,35
"192",17,22,24,35,45,1,17,22,24,35,45
"193",4,6,17,42,44,1,4,6,17,42,44
"194",19,33,41,46,47,1,19,33,41,46,47
"195",5,14,23,43,44,1,5,14,23,43,44
"196",24,28,38,41,43,1,24,28,38,41,43
"197",8,19,33,44,45,1,8,19,33,44,45
"198",3,7,20,30,39,1,3,7,20,30,39
"199",18,22,36,41,42,1,18,22,36,41,42
"200",5,9,14,28,42,1,5,9,14,28,42
"201",8,10,13,27,41,1,8,10,13,27,41
"202",15,19,21,24,32,1,15,19,21,24,32
"203",14,20,22,31,32,1,14,20,22,31,32
"204",1,16,30,45,50,1,1,16,30,45,50
"205",1,3,28,41,50,1,1,3,28,41,50
"206",11,13,17,31,42,1,11,13,17,31,42
"207",3,6,10,12,16,1,3,6,10,12,16
"208",11,15,30,43,48,0.995,11,30,34,43,48
"209",28,33,34,48,49,1,28,33,34,48,49
"210",1,3,29,30,48,0.997,1,3,30,32,48
"211",1,11,37,42,50,1,1,11,37,42,50
"212",3,27,28,35,40,1,3,27,28,35,40
"213",4,8,21,25,43,1,4,8,21,25,43
"214",14,33,34,44,50,1,14,33,34,44,50
"215",7,16,26,31,39,1,7,16,26,31,39
"216",24,25,37,44,48,1,24,25,37,44,48
"217",5,8,15,27,47,1,5,8,15,27,47
"218",12,28,34,36,50,1,12,28,34,36,50
"219",13,18,23,40,48,1,13,18,23,40,48
"220",27,31,36,39,47,1,27,31,36,39,47
"221",1,2,7,25,38,1,1,2,7,25,38
"222",9,19,36,46,49,1,9,19,36,46,49
"223",1,19,24,32,47,1,1,19,24,32,47
"224",7,13,15,36,44,1,7,13,15,36,44
"225",11,22,29,35,45,1,11,22,29,35,45
"226",13,21,27,31,35,1,13,21,27,31,35
"227",5,6,9,31,48,1,5,6,9,31,48
"228",8,12,21,28,44,1,8,12,21,28,44
"229",4,30,38,45,50,1,4,30,38,45,50
"230",5,18,26,29,30,1,5,18,26,29,30
"231",15,22,25,47,48,1,15,22,25,47,48
"232",3,8,14,21,38,1,3,8,14,21,38
"233",8,33,38,44,47,1,8,10,38,44,47
"234",8,18,34,40,47,1,8,18,34,40,47
"235",10,26,28,40,50,1,10,26,28,40,50
"236",3,20,29,33,36,1,3,20,29,33,36
"237",8,12,42,44,46,1,8,12,42,44,46
"238",2,14,33,43,47,1,2,14,33,43,47
"239",19,24,27,32,35,1,19,24,27,32,35
"240",5,26,31,34,38,1,5,26,31,34,38
"241",15,17,23,44,45,1,15,17,23,44,45
"242",9,35,42,45,50,1,9,35,42,45,50
"243",17,20,27,45,47,1,17,20,27,45,47
"244",10,17,22,29,46,1,10,17,22,29,46
"245",7,13,28,31,46,1,7,13,28,31,46
"246",3,4,9,28,36,1,3,4,9,28,36
"247",3,15,18,28,37,1,3,15,18,28,37
"248",8,9,18,25,48,1,8,9,18,25,48
"249",7,12,16,38,40,1,7,12,16,38,40
"250",1,17,23,25,29,1,1,17,23,25,29
"251",10,15,43,47,48,1,10,15,43,47,48
"252",9,14,15,17,50,1,9,14,15,17,50
"253",9,10,20,27,39,1,9,10,20,27,39
"254",3,6,41,43,49,1,3,6,41,43,49
"255",11,12,21,24,48,1,11,12,21,24,48
"256",13,17,36,41,49,1,13,17,36,41,49
"257",8,14,21,25,40,1,8,14,21,25,40
"258",3,5,12,31,49,0.996,3,5,29,31,49
"259",9,27,30,43,45,1,9,27,30,43,45
"260",5,18,23,43,45,1,5,18,23,43,45
"261",7,10,29,33,40,1,7,10,29,33,40
"262",2,32,36,38,45,1,2,32,36,38,45
"263",13,16,17,33,44,1,13,16,17,33,44
"264",26,28,35,38,48,1,26,28,35,38,48
"265",16,18,30,37,41,1,16,18,30,37,41
"266",1,7,11,15,32,1,1,7,11,15,32
"267",1,4,6,8,33,1,1,4,6,8,33
"268",1,9,12,17,29,1,1,9,12,17,29
"269",2,20,25,26,46,1,2,20,25,26,46
"270",10,27,30,38,50,1,10,27,30,38,50
"271",19,41,43,47,48,0.981,14,31,41,43,47
"272",7,13,27,39,48,1,7,13,27,39,48
"273",14,17,23,28,31,1,14,17,23,28,31
"274",1,4,37,43,50,1,1,4,37,43,50
"275",11,14,34,35,42,1,11,14,34,35,42
"276",6,12,24,28,33,1,6,12,24,28,33
"277",7,12,14,25,31,1,7,12,14,25,31
"278",1,3,16,31,43,1,1,3,16,31,43
"279",3,12,19,22,24,0.972,3,12,22,24,31
"280",1,12,17,32,40,1,1,12,17,32,40
"281",6,16,18,24,39,1,6,16,18,24,39
"282",9,13,23,24,35,1,9,13,23,24,35
"283",11,26,29,30,41,1,11,26,29,30,41
"284",9,23,26,32,41,1,9,23,26,32,41
"285",28,32,38,43,49,1,28,32,38,43,49
"286",4,20,22,30,40,1,4,20,22,30,40
"287",6,22,29,41,46,1,6,22,29,41,46
"288",30,31,33,39,43,1,30,31,33,39,43
"289",2,4,7,15,40,1,2,4,7,15,40
"290",1,18,32,35,39,0.997,1,7,18,32,39
"291",1,17,27,38,40,1,1,17,27,38,40
"292",5,25,39,44,45,1,5,25,39,44,45
"293",17,21,29,44,47,1,17,21,29,44,47
"294",12,22,23,36,47,1,12,22,23,36,47
"295",17,21,32,42,50,1,17,21,32,42,50
"296",18,34,37,40,43,1,18,34,37,40,43
"297",4,22,33,37,41,1,4,22,33,37,41
"298",1,18,19,23,27,1,1,18,19,23,27
"299",22,41,43,44,50,1,22,41,43,44,50
"300",9,35,39,43,49,1,9,35,39,43,49
"301",5,29,40,45,48,1,5,29,40,45,48
"302",9,11,20,25,34,1,9,11,20,25,34
"303",5,9,15,22,40,1,5,9,15,22,40
"304",21,28,30,33,34,1,21,28,30,33,34
"305",13,22,39,42,44,0.996,2,22,39,42,44
"306",18,20,36,41,46,1,18,20,36,41,46
"307",4,5,8,20,21,1,4,5,8,20,21
"308",4,8,44,45,49,1,4,8,44,45,49
"309",16,17,31,44,48,1,16,17,31,44,48
"310",8,14,23,32,46,1,8,14,23,32,46
"311",4,12,37,41,45,1,4,12,37,41,45
"312",25,29,35,38,45,1,25,29,35,38,45
"313",4,12,18,25,44,1,4,12,18,25,44
"314",5,24,27,39,47,1,5,24,27,39,47
"315",13,18,22,29,48,1,13,18,22,29,48
"316",10,11,23,25,47,1,10,11,23,25,47
"317",3,10,19,37,44,1,3,10,19,37,44
"318",26,33,36,38,50,1,26,33,36,38,50
"319",9,15,20,29,42,1,9,15,20,29,42
"320",14,31,43,48,49,1,14,31,43,48,49
"321",6,20,27,32,50,1,6,20,27,32,50
"322",22,23,48,49,50,1,22,23,48,49,50
"323",1,4,6,13,50,1,1,4,6,13,50
"324",8,9,28,33,38,1,8,9,28,33,38
"325",5,18,21,24,29,1,5,18,21,24,29
"326",9,12,14,40,47,1,9,12,14,40,47
"327",9,14,22,28,45,1,9,14,22,28,45
"328",1,21,31,38,45,1,1,21,31,38,45
"329",26,28,31,37,39,1,26,28,31,37,39
"330",3,28,34,37,48,1,3,28,34,37,48
"331",6,25,33,34,49,1,6,25,33,34,49
"332",20,33,39,45,48,1,20,33,39,45,48
"333",2,16,25,34,44,1,2,16,25,34,44
"334",1,2,7,28,48,1,1,2,7,28,48
"335",15,20,35,40,49,1,15,20,35,40,49
"336",23,28,37,39,49,1,23,28,37,39,49
"337",16,17,18,22,48,0.983,16,17,18,22,46
"338",15,33,34,38,48,1,15,33,34,38,48
"339",3,11,16,25,34,1,3,11,16,25,34
"340",3,12,32,37,48,1,3,12,32,37,48
"341",7,13,23,27,43,1,7,13,23,27,43
"342",14,19,38,41,48,0.994,9,14,19,38,48
"343",13,18,21,39,44,1,13,18,21,39,44
"344",6,19,22,42,43,0.996,6,7,19,42,43
"345",9,12,25,35,49,1,9,12,25,35,49
"346",6,15,26,31,37,1,6,15,26,31,37
"347",4,20,32,33,50,0.999,4,32,33,36,50
"348",2,14,15,24,31,1,2,14,15,24,31
"349",31,37,41,43,50,1,31,37,41,43,50
"350",15,17,26,34,46,0.999,15,17,26,34,35
"351",3,5,20,25,42,1,3,5,20,25,42
"352",2,4,8,11,36,1,2,4,8,11,36
"353",5,7,8,20,39,1,5,7,8,20,39
"354",1,12,24,34,43,1,1,12,24,34,43
"355",7,25,31,41,42,1,7,25,31,41,42
"356",21,23,30,31,43,1,21,23,30,31,43
"357",5,14,40,46,47,1,5,14,40,46,47
"358",7,18,20,29,35,1,7,18,20,29,35
"359",1,39,40,42,49,1,1,39,40,42,49
"360",13,37,40,46,48,1,13,37,40,46,48
"361",13,27,37,43,45,1,13,27,37,43,45
"362",2,15,22,23,34,1,2,15,22,23,34
"363",3,10,24,40,47,1,3,10,24,40,47
"364",10,17,32,37,50,1,10,17,32,37,50
"365",23,31,32,38,47,1,23,31,32,38,47
"366",2,7,13,19,23,1,2,7,13,19,23
"367",13,15,21,24,43,1,13,15,21,24,43
"368",11,12,28,42,48,1,11,12,28,42,48
"369",11,18,22,39,49,1,11,18,22,39,49
"370",1,3,10,14,44,1,1,3,10,14,44
"371",16,25,32,40,48,1,16,25,32,40,48
"372",5,9,13,16,47,1,5,9,13,16,47
"373",1,3,15,29,46,1,1,3,15,29,46
"374",6,18,34,38,41,1,6,18,34,38,41
"375",17,22,34,38,49,1,17,22,34,38,49
"376",12,25,35,37,48,1,12,25,35,37,48
"377",10,30,39,41,42,1,10,30,39,41,42
"378",24,36,43,44,47,1,24,36,43,44,47
"379",3,6,9,11,40,1,3,6,9,11,40
"380",4,22,30,47,48,1,4,22,30,47,48
"381",10,27,30,32,43,1,10,27,30,32,43
"382",6,21,29,36,38,1,6,21,29,36,38
"383",8,16,27,36,45,1,8,16,27,36,45
"384",5,11,12,20,38,1,5,11,12,20,38
"385",8,16,24,33,49,0.994,8,24,28,33,49
"386",20,22,24,27,47,1,20,22,24,27,47
"387",9,22,29,45,47,1,9,22,29,45,47
"388",2,4,34,43,47,1,2,4,34,43,47
"389",4,5,23,34,41,1,4,5,23,34,41
"390",2,17,29,41,42,1,2,17,29,41,42
"391",4,9,13,27,33,1,4,9,13,27,33
"392",5,40,42,43,49,1,5,40,42,43,49
"393",8,9,11,21,38,1,8,9,11,21,38
"394",3,4,17,27,46,1,3,4,17,27,46
"395",5,23,31,34,38,1,5,23,31,34,38
